tag,total_samples,correct,incorrect,accuracy
no_download_option_after_correction,38,37,1,0.9737
way_to_cancel_correction_application,38,37,1,0.9737
no_upzila_in_permananet_address,38,37,1,0.9737
card_correction_one_information_maximum_limit,38,37,1,0.9737
finderprint_adjudication_pending,38,37,1,0.9737
voter_card_damaged,38,37,1,0.9737
birth_certificate_and_ssc_certificate_different_information,38,37,1,0.9737
sms_after_picture_how_many_days,38,37,1,0.9737
voter_halnagad_registration_not_done,38,37,1,0.9737
dead_people_id_card_update,38,37,1,0.9737
all_documents_correct_but_application_rejected_why,38,38,0,1.0000
address_change_sms_to_mobile_how_many_days_to_get_approved,38,38,0,1.0000
correction_applied_but_no_category,38,38,0,1.0000
dual_citizenship_certificate_of_which_countires_not_required_for_nid,38,38,0,1.0000
birth_certificate_number_correct_or_add_document_new,38,38,0,1.0000
parent_spouse_name_correct_or_add_document_new,38,38,0,1.0000
new_voter_application_cancelled,38,38,0,1.0000
persent_address_correction_procedure,38,38,0,1.0000
name_correction_in_nid_card,38,38,0,1.0000
agent_calling,38,38,0,1.0000
qr_code_clarification,38,38,0,1.0000
present_address_change_process_duration,38,38,0,1.0000
form_number_not_working,38,38,0,1.0000
new_voter_got_normal_card_when_get_smart_card,38,38,0,1.0000
correction_fee_payment,38,38,0,1.0000
address_change_counselor_chairperson_signature,38,38,0,1.0000
passport_number_correct_or_add_document_new,38,38,0,1.0000
nid_opportunity_for_foreign_spouse,38,38,0,1.0000
foreign_resident_card_registration_rejected,38,38,0,1.0000
card_correction_fees_payment_reference_nid_number_query,38,38,0,1.0000
online_apply,38,38,0,1.0000
voter_area_change_online,38,38,0,1.0000
cell_phone_number_correct_or_add_document_new,38,38,0,1.0000
rocket_mfs_payment_process,38,38,0,1.0000
together_present_and_permanent_address_change,38,38,0,1.0000
one_zero_five_upzila_office_contact,38,38,0,1.0000
face_verification_no_next_option,38,38,0,1.0000
foreign_resident_passport_expaired_card_registration_process,38,38,0,1.0000
reissue_supporting_document,38,38,0,1.0000
spouse_name_correction_new,38,38,0,1.0000
nid_digit_format_missmatch_in_passport,38,38,0,1.0000
repeat_again,38,38,0,1.0000
father_and_my_adress_different,38,38,0,1.0000
unexpected_online_problem,38,38,0,1.0000
permanent_address_change_fees,38,38,0,1.0000
one_mobile_number_how_many_time_registration,38,38,0,1.0000
ten_digit_nid_password_changing_problem,38,38,0,1.0000
instant_card_correction_fee,38,38,0,1.0000
nid_wallet_download_alternative,38,38,0,1.0000
account_locked_unlock_request,38,38,0,1.0000
foreign_resident_multiple_registration_new,38,38,0,1.0000
voter_area_query,38,38,0,1.0000
no_own_house_in_voter_area,38,38,0,1.0000
ssc_certificate_for_correction,38,38,0,1.0000
representative_contact_outside_business_hours,38,38,0,1.0000
nid_match_found_verification_failed_how_to_solve,38,38,0,1.0000
new_voter_identifier_who,38,38,0,1.0000
present_and_permanent_address_generic_new,38,38,0,1.0000
utility_bill_not_available_for_address_proof,38,38,0,1.0000
card_lock,38,38,0,1.0000
permanent_address_update_procedure,38,38,0,1.0000
address_cahgne_but_no_post_office_or_office_code,38,38,0,1.0000
old_birth_certificate,38,38,0,1.0000
correction_applied_more_correction_needed,38,38,0,1.0000
reigister_as_new_voter_but_birth_registration_different_address,38,38,0,1.0000
parent_no_card_failed_to_be_voter,38,38,0,1.0000
smart_card_print_problem,38,38,0,1.0000
parents_name_correction_new,38,38,0,1.0000
smart_card_ready_sms,38,38,0,1.0000
correction_fee_submitted_but_balance_zero,38,38,0,1.0000
foreign_resident_card_collection,38,38,0,1.0000
foreign_resident_card_registration_query_country_limitation,38,38,0,1.0000
birthplace_correction_new,38,38,0,1.0000
smart_card_printing_status_sms_how,38,38,0,1.0000
foreign_resident_card_picture_done_not_inquery_from_upzilla_new,38,38,0,1.0000
correction_messages_but_no_update_in_card_no_approve,38,38,0,1.0000
new_voter_but_card_rejected,38,38,0,1.0000
