expected_tag,predicted_tag,count
card_reissue_fees,reissue_apply_why_pending_and_urgent_reissue_seven_days_over,1
cell_phone_number_correct_or_add_document_new,cell_phone_number_correct_or_add_document_new,38
closing_statement,closing_statement,25
closing_statement,goodbye,7
closing_statement,request_for_feedback_or_suggestions,6
correction_application_current_status,card_information_correction,1
correction_application_current_status,correction_application_current_status,18
correction_application_current_status,correction_application_status,16
correction_application_current_status,new_voter_no_messages_from_upzila_or_thana,1
correction_application_current_status,online_application_pending,1
correction_application_current_status,photo_signature_change_application_not_approved,1
correction_application_rejected_need_new_fee,card_correction_request_failed_query_regarding_repayment_fees,5
correction_application_rejected_need_new_fee,correction_application_rejected_need_new_fee,33
correction_application_status,age_and_dob_correction,1
correction_application_status,correction_application_current_status,6
correction_application_status,correction_application_status,29
correction_application_status,present_and_permanent_address_generic_new,2
correction_applied_but_no_category,correction_applied_but_no_category,38
correction_applied_more_correction_needed,correction_applied_more_correction_needed,38
correction_fee_payment,correction_fee_payment,38
correction_fee_submitted_but_balance_zero,correction_fee_submitted_but_balance_zero,38
correction_messages_but_no_update_in_card_no_approve,correction_messages_but_no_update_in_card_no_approve,38
correction_slip_lost_can_get_card,correction_slip_lost_can_get_card,32
correction_slip_lost_can_get_card,picture_done_but_lost_or_no_sms_slip,1
correction_slip_lost_can_get_card,receipt_lost_how_to_get_new_card,3
correction_slip_lost_can_get_card,voter_slip_lost_how_to_get_nid,2
dead_people_id_card_update,dead_people_id_card_update,37
dead_people_id_card_update,online_card_correction_application_done_now_what,1
delayed_question_prompt,ask_if_any_other_questions,1
delayed_question_prompt,closing_statement,2
delayed_question_prompt,delayed_question_prompt,22
delayed_question_prompt,goodbye,1
delayed_question_prompt,greeting_and_request_for_question,2
delayed_question_prompt,repeat_again,3
delayed_question_prompt,request_for_clear_pronunciation,3
delayed_question_prompt,request_for_feedback_or_suggestions,1
delayed_question_prompt,warning_to_prank_caller,3
double_voter_registration_issue,double_voter_registration_issue,35
double_voter_registration_issue,nid_adjudication_pending,1
double_voter_registration_issue,nid_match_found_verification_failed_how_to_solve,1
double_voter_registration_issue,voter_migration_done_now_what_to_do_for_reissue,1
dual_citizenship_certificate_of_which_countires_not_required_for_nid,dual_citizenship_certificate_of_which_countires_not_required_for_nid,38
educational_qualification_correction,birthplace_correction_new,1
educational_qualification_correction,educational_qualification_correction,36
educational_qualification_correction,voter_area_change_not_reflected,1
eight_hours_time_up,account_locked,3
eight_hours_time_up,account_locked_retrials,6
eight_hours_time_up,eight_hours_time_up,29
face_verification_no_next_option,face_verification_no_next_option,38
faster_voter_registration,faster_voter_registration,37
faster_voter_registration,new_voter_application_not_submitted_to_upazila_or_thana_office,1
father_and_my_adress_different,father_and_my_adress_different,38
finderprint_adjudication_pending,finderprint_adjudication_pending,37
finderprint_adjudication_pending,picture_done_but_lost_or_no_sms_slip,1
fingerprint_error_info_not_found,double_voter_registration_issue,1
fingerprint_error_info_not_found,fingerprint_error_info_not_found,37
font_problem_in_new_voter_registration_form,fingerprint_error_info_not_found,1
font_problem_in_new_voter_registration_form,font_problem_in_new_voter_registration_form,37
foreign_resident_action_after_biometrics_new,foreign_resident_action_after_biometrics_new,37
foreign_resident_action_after_biometrics_new,smart_card_selected_but_get_pdf,1
foreign_resident_card_collection,foreign_resident_card_collection,38
foreign_resident_card_picture_done__inquery_done_no_msg_new,foreign_resident_card_picture_done__inquery_done_no_msg_new,36
foreign_resident_card_picture_done__inquery_done_no_msg_new,foreign_resident_card_picture_done_not_inquery_from_upzilla_new,2
foreign_resident_card_picture_done_not_inquery_from_upzilla_new,foreign_resident_card_picture_done_not_inquery_from_upzilla_new,38
foreign_resident_card_registration_process,foreign_resident_card_registration_process,36
foreign_resident_card_registration_process,foreign_resident_card_registration_query_country_limitation,1
foreign_resident_card_registration_process,foreign_resident_passport_expaired_card_registration_process,1
foreign_resident_card_registration_query_country_limitation,foreign_resident_card_registration_query_country_limitation,38
foreign_resident_card_registration_rejected,foreign_resident_card_registration_rejected,38
foreign_resident_card_registration_required_documents,foreign_resident_card_registration_process,2
foreign_resident_card_registration_required_documents,foreign_resident_card_registration_required_documents,36
foreign_resident_multiple_registration_new,foreign_resident_multiple_registration_new,38
foreign_resident_nid_adjudication_pending,foreign_resident_nid_adjudication_pending,35
foreign_resident_nid_adjudication_pending,nid_adjudication_pending,3
foreign_resident_passport_expaired_card_registration_process,foreign_resident_passport_expaired_card_registration_process,38
form_number_not_working,form_number_not_working,38
goodbye,closing_statement,6
goodbye,goodbye,21
goodbye,photo_sms_but_not_in_upzila_other_when,1
goodbye,repeat_again,1
goodbye,request_for_feedback_or_suggestions,9
greeting_and_request_for_question,agent_calling,1
greeting_and_request_for_question,delayed_question_prompt,4
greeting_and_request_for_question,greeting_and_request_for_question,30
greeting_and_request_for_question,request_for_clear_pronunciation,1
greeting_and_request_for_question,service_provided,2
greetings,delayed_question_prompt,6
greetings,greeting_and_request_for_question,8
greetings,greetings,22
greetings,warning_to_prank_caller,2
how_many_wife_name_can_be_added_in_nid_card,how_many_wife_name_can_be_added_in_nid_card,37
how_many_wife_name_can_be_added_in_nid_card,spouse_name_correction_new,1
how_to_apply_for_correction_in_online_portal,how_to_apply_for_correction_in_online_portal,35
how_to_apply_for_correction_in_online_portal,online_card_correction,2
how_to_apply_for_correction_in_online_portal,service_provided,1
how_to_complain_not_getting_help_from_election_office,how_to_complain_not_getting_help_from_election_office,36
how_to_complain_not_getting_help_from_election_office,new_voter_application_not_submitted_to_upazila_or_thana_office,1
how_to_complain_not_getting_help_from_election_office,wish_to_create_nid_smart_card_new,1
husband_name_previous_card,husband_name_previous_card,27
husband_name_previous_card,no_husband_name_in_smart_card,11
husband_talak_name_remove,husband_talak_name_remove,37
husband_talak_name_remove,spouse_name_correction_new,1
information_correct_but_account_locked,eight_hours_time_up,2
information_correct_but_account_locked,information_correct_but_account_locked,36
instant_card_correction_fee,instant_card_correction_fee,38
login_using_old_id_password,login_using_old_id_password,36
login_using_old_id_password,online_previously_registered,2
ministry_provide_dual_citizenship_certificate,ministry_provide_dual_citizenship_certificate,34
ministry_provide_dual_citizenship_certificate,whom_to_communicate_for_dual_citizenship_certificate,4
name_correction_in_nid_card,name_correction_in_nid_card,38
necessary_documents_to_modify_voter_area,necessary_documents_to_modify_voter_area,36
necessary_documents_to_modify_voter_area,voter_area_change,2
new_card_got_old_card_found_what_to_do,new_card_got_old_card_found_what_to_do,37
new_card_got_old_card_found_what_to_do,smart_card_lost_how_to_get_new_one_again,1
new_nid_card_age,new_nid_card_age,30
new_nid_card_age,nid_registration_age,7
new_nid_card_age,underaged_card_holder_to_voter,1
new_voter_application_cancelled,new_voter_application_cancelled,38
new_voter_application_not_submitted_to_upazila_or_thana_office,card_avail_after_address_change,1
new_voter_application_not_submitted_to_upazila_or_thana_office,new_voter_application_cancelled,1
new_voter_application_not_submitted_to_upazila_or_thana_office,new_voter_application_not_submitted_to_upazila_or_thana_office,36
new_voter_apply_online_what_documents_needed,birth_certificate_and_ssc_certificate_different_information,1
new_voter_apply_online_what_documents_needed,finderprint_adjudication_pending,1
new_voter_apply_online_what_documents_needed,font_problem_in_new_voter_registration_form,1
new_voter_apply_online_what_documents_needed,name_correction_in_nid_card,1
new_voter_apply_online_what_documents_needed,new_voter_apply_online_what_documents_needed,19
new_voter_apply_online_what_documents_needed,new_voter_online_what_documents_to_submit,14
new_voter_apply_online_what_documents_needed,sms_after_picture_how_many_days,1
new_voter_but_card_rejected,new_voter_but_card_rejected,38
new_voter_can_not_download_card_with_form_number,new_voter_can_not_download_card_with_form_number,36
new_voter_can_not_download_card_with_form_number,new_voter_card_not_taken_has_form_no_can_not_register_online,1
new_voter_can_not_download_card_with_form_number,no_download_option_after_correction,1
new_voter_card_getting_time,new_voter_card_getting_time,36
new_voter_card_getting_time,new_voter_got_normal_card_when_get_smart_card,2
new_voter_card_not_taken_has_form_no_can_not_register_online,form_number_not_working,1
new_voter_card_not_taken_has_form_no_can_not_register_online,new_voter_card_not_taken_has_form_no_can_not_register_online,37
new_voter_fees,new_voter_fees,35
new_voter_fees,new_voter_smart_card_how_to_get,1
new_voter_fees,smart_card_fee,2
new_voter_got_normal_card_when_get_smart_card,new_voter_got_normal_card_when_get_smart_card,38
new_voter_how_to_get_card,new_voter_can_not_download_card_with_form_number,1
new_voter_how_to_get_card,new_voter_how_to_get_card,36
new_voter_how_to_get_card,online_card_correction,1
new_voter_identifier_who,new_voter_identifier_who,38
new_voter_no_messages_from_upzila_or_thana,new_voter_no_messages_from_upzila_or_thana,35
new_voter_no_messages_from_upzila_or_thana,no_otp_in_registration,1
new_voter_no_messages_from_upzila_or_thana,no_upzila_in_permananet_address,1
new_voter_no_messages_from_upzila_or_thana,wish_to_create_nid_smart_card_new,1
new_voter_online_what_documents_to_submit,name_correction_in_nid_card,1
new_voter_online_what_documents_to_submit,new_voter_apply_online_what_documents_needed,7
new_voter_online_what_documents_to_submit,new_voter_online_what_documents_to_submit,22
new_voter_online_what_documents_to_submit,new_voter_pre_condition,4
new_voter_online_what_documents_to_submit,wish_to_create_nid_smart_card_new,4
new_voter_pre_condition,educational_qualification_correction,1
new_voter_pre_condition,new_nid_card_age,1
new_voter_pre_condition,new_voter_pre_condition,35
new_voter_pre_condition,wish_to_create_nid_smart_card_new,1
new_voter_smart_card_how_to_get,age_and_dob_correction,1
new_voter_smart_card_how_to_get,new_voter_got_normal_card_when_get_smart_card,1
new_voter_smart_card_how_to_get,new_voter_how_to_get_card,2
new_voter_smart_card_how_to_get,new_voter_smart_card_how_to_get,34
nid_adjudication_pending,educational_qualification_correction,1
nid_adjudication_pending,foreign_resident_nid_adjudication_pending,2
nid_adjudication_pending,new_voter_application_not_submitted_to_upazila_or_thana_office,3
nid_adjudication_pending,nid_adjudication_pending,31
nid_adjudication_pending,online_card_correction_application_done_now_what,1
nid_digit_format_missmatch_in_passport,nid_digit_format_missmatch_in_passport,38
nid_information_misentry_correction_procedure,card_information_correction,7
nid_information_misentry_correction_procedure,name_correction_in_nid_card,1
nid_information_misentry_correction_procedure,nid_information_misentry_correction_procedure,28
nid_information_misentry_correction_procedure,photo_correction,2
nid_match_found_verification_failed_how_to_solve,nid_match_found_verification_failed_how_to_solve,38
nid_opportunity_for_foreign_spouse,nid_opportunity_for_foreign_spouse,38
nid_registration_age,age_and_dob_correction,1
nid_registration_age,new_nid_card_age,5
nid_registration_age,nid_registration_age,32
nid_wallet_download,nid_wallet_download,35
nid_wallet_download,nid_wallet_download_iphone,2
nid_wallet_download,no_android_phone,1
nid_wallet_download_alternative,nid_wallet_download_alternative,38
nid_wallet_download_iphone,nid_wallet_download,1
nid_wallet_download_iphone,nid_wallet_download_iphone,36
nid_wallet_download_iphone,no_android_phone,1
no_android_phone,nid_wallet_download,1
no_android_phone,nid_wallet_download_alternative,1
no_android_phone,nid_wallet_download_iphone,1
no_android_phone,no_android_phone,35
no_download_option_after_correction,correction_messages_but_no_update_in_card_no_approve,1
no_download_option_after_correction,no_download_option_after_correction,37
no_face_verification,correction_fee_submitted_but_balance_zero,1
no_face_verification,fingerprint_error_info_not_found,2
no_face_verification,no_face_verification,34
no_face_verification,qr_code_clarification,1
no_husband_name_in_smart_card,husband_name_previous_card,9
no_husband_name_in_smart_card,no_husband_name_in_smart_card,28
no_husband_name_in_smart_card,smart_card_print_problem,1
no_otp_in_registration,how_to_apply_for_correction_in_online_portal,1
no_otp_in_registration,no_otp_in_registration,37
no_own_house_in_voter_area,no_own_house_in_voter_area,38
no_upzila_in_online_registration,no_upzila_in_online_registration,37
no_upzila_in_online_registration,permanent_address_update_procedure,1
no_upzila_in_permananet_address,no_upzila_in_online_registration,1
no_upzila_in_permananet_address,no_upzila_in_permananet_address,37
not_getting_smart_card_though_newer_voter_getting,not_getting_smart_card_though_newer_voter_getting,33
not_getting_smart_card_though_newer_voter_getting,photo_done_years_ago_but_no_card,4
not_getting_smart_card_though_newer_voter_getting,smart_card_status,1
nrb_application_status,foreign_resident_card_registration_process,2
nrb_application_status,nrb_application_status,36
old_birth_certificate,old_birth_certificate,38
one_mobile_number_how_many_time_registration,one_mobile_number_how_many_time_registration,38
one_zero_five_upzila_office_contact,one_zero_five_upzila_office_contact,38
online_application_pending,card_lost_new_card_fee,1
online_application_pending,new_card_got_old_card_found_what_to_do,1
online_application_pending,online_application_pending,20
online_application_pending,online_card_correction_application_done_now_what,1
online_application_pending,photo_done_years_ago_but_no_card,1
online_application_pending,reissue_apply_why_pending_and_urgent_reissue_seven_days_over,13
online_application_pending,voter_slip_lost_how_to_get_nid,1
online_apply,online_apply,38
online_card_correction,card_information_correction,1
online_card_correction,how_to_apply_for_correction_in_online_portal,5
online_card_correction,online_card_correction,31
online_card_correction,profession_change,1
online_card_correction_application_done_now_what,how_to_apply_for_correction_in_online_portal,1
online_card_correction_application_done_now_what,old_birth_certificate,1
online_card_correction_application_done_now_what,online_card_correction_application_done_now_what,35
online_card_correction_application_done_now_what,photo_signature_change_application_not_approved,1
online_new_voter_registration,online_card_correction,1
online_new_voter_registration,online_new_voter_registration,36
online_new_voter_registration,wish_to_create_nid_smart_card_new,1
online_no_apply,online_apply,1
online_no_apply,online_no_apply,36
online_no_apply,smart_card_lost_reissue,1
online_portal_registration,new_voter_fees,1
online_portal_registration,online_portal_registration,36
online_portal_registration,qr_code_clarification,1
online_previously_registered,login_using_old_id_password,4
online_previously_registered,online_previously_registered,34
parent_no_card_failed_to_be_voter,parent_no_card_failed_to_be_voter,38
parent_spouse_name_correct_or_add_document_new,parent_spouse_name_correct_or_add_document_new,38
parents_name_correction_new,parents_name_correction_new,38
parents_or_spouse_death_related_documents_to_declare_death,dead_people_id_card_update,1
parents_or_spouse_death_related_documents_to_declare_death,no_husband_name_in_smart_card,1
parents_or_spouse_death_related_documents_to_declare_death,parents_or_spouse_death_related_documents_to_declare_death,36
passport_number_correct_or_add_document_new,passport_number_correct_or_add_document_new,38
permanent_address_change_fees,permanent_address_change_fees,38
permanent_address_change_process_duration,address_change_sms_to_mobile_how_many_days_to_get_approved,1
permanent_address_change_process_duration,permanent_address_change_process_duration,36
permanent_address_change_process_duration,present_address_change_process_duration,1
permanent_address_new,permanent_address_new,37
permanent_address_new,permanent_address_update_procedure,1
permanent_address_update_procedure,permanent_address_update_procedure,38
persent_address_correction_procedure,persent_address_correction_procedure,38
photo_correction,photo_correction,35
photo_correction,photo_signature_change_application_not_approved,1
photo_correction,smart_card_selected_but_get_pdf,1
photo_correction,way_to_cancel_correction_application,1
photo_done_years_ago_but_no_card,correction_messages_but_no_update_in_card_no_approve,1
photo_done_years_ago_but_no_card,foreign_resident_card_picture_done__inquery_done_no_msg_new,1
photo_done_years_ago_but_no_card,new_voter_no_messages_from_upzila_or_thana,3
photo_done_years_ago_but_no_card,nid_information_misentry_correction_procedure,1
photo_done_years_ago_but_no_card,not_getting_smart_card_though_newer_voter_getting,1
photo_done_years_ago_but_no_card,photo_done_years_ago_but_no_card,23
photo_done_years_ago_but_no_card,picture_done_but_lost_or_no_sms_slip,4
photo_done_years_ago_but_no_card,voter_halnagad_registration_not_done,2
photo_done_years_ago_but_no_card,voter_slip_lost_how_to_get_new_card,1
photo_done_years_ago_but_no_card,voter_slip_lost_how_to_get_nid,1
photo_signature_change_application_not_approved,correction_applied_more_correction_needed,1
photo_signature_change_application_not_approved,online_card_correction_application_done_now_what,1
photo_signature_change_application_not_approved,photo_signature_change_application_not_approved,35
photo_signature_change_application_not_approved,voter_halnagad_registration_not_done,1
photo_sms_but_not_in_upzila_other_when,foreign_resident_card_picture_done_not_inquery_from_upzilla_new,1
photo_sms_but_not_in_upzila_other_when,online_application_pending,1
photo_sms_but_not_in_upzila_other_when,photo_sms_but_not_in_upzila_other_when,36
picture_done_but_lost_or_no_sms_slip,new_voter_application_cancelled,1
picture_done_but_lost_or_no_sms_slip,photo_done_years_ago_but_no_card,1
picture_done_but_lost_or_no_sms_slip,picture_done_but_lost_or_no_sms_slip,30
picture_done_but_lost_or_no_sms_slip,receipt_lost_how_to_get_new_card,2
picture_done_but_lost_or_no_sms_slip,voter_slip_lost_how_to_get_new_card,1
picture_done_but_lost_or_no_sms_slip,voter_slip_lost_how_to_get_nid,3
present_address_change_process_duration,present_address_change_process_duration,38
present_and_permanent_address_generic_new,present_and_permanent_address_generic_new,38
previous_information_in_downloaded_card_after_correction,previous_information_in_downloaded_card_after_correction,36
previous_information_in_downloaded_card_after_correction,voter_area_change_not_reflected,2
profession_change,birthplace_correction_new,1
profession_change,profession_change,37
qr_code_clarification,qr_code_clarification,38
receipt_lost_how_to_get_new_card,correction_slip_lost_can_get_card,3
receipt_lost_how_to_get_new_card,not_getting_smart_card_though_newer_voter_getting,1
receipt_lost_how_to_get_new_card,picture_done_but_lost_or_no_sms_slip,1
receipt_lost_how_to_get_new_card,receipt_lost_how_to_get_new_card,32
receipt_lost_how_to_get_new_card,voter_slip_lost_how_to_get_nid,1
reigister_as_new_voter_but_birth_registration_different_address,reigister_as_new_voter_but_birth_registration_different_address,38
reissue_apply_why_pending_and_urgent_reissue_seven_days_over,online_application_pending,2
reissue_apply_why_pending_and_urgent_reissue_seven_days_over,reissue_apply_why_pending_and_urgent_reissue_seven_days_over,36
reissue_supporting_document,reissue_supporting_document,38
repeat_again,repeat_again,38
representative_contact_outside_business_hours,representative_contact_outside_business_hours,38
request_for_clear_pronunciation,ask_if_any_other_questions,2
request_for_clear_pronunciation,repeat_again,1
request_for_clear_pronunciation,request_for_clear_pronunciation,35
request_for_feedback_or_suggestions,closing_statement,5
request_for_feedback_or_suggestions,goodbye,3
request_for_feedback_or_suggestions,request_for_feedback_or_suggestions,30
rocket_mfs_payment_process,rocket_mfs_payment_process,38
service_provided,age_and_dob_correction,1
service_provided,correction_application_status,1
service_provided,greeting_and_request_for_question,4
service_provided,service_provided,32
signature_correction,present_and_permanent_address_generic_new,1
signature_correction,signature_correction,37
smart_card_collect_by_other,age_and_dob_correction,1
smart_card_collect_by_other,smart_card_collect_by_other,36
smart_card_collect_by_other,smart_card_collection_fees,1
smart_card_collection_fees,smart_card_collection_fees,28
smart_card_collection_fees,smart_card_fee,10
smart_card_distributed_in_my_area_but_my_card_not_received,not_getting_smart_card_though_newer_voter_getting,4
smart_card_distributed_in_my_area_but_my_card_not_received,smart_card_distributed_in_my_area_but_my_card_not_received,32
smart_card_distributed_in_my_area_but_my_card_not_received,smart_card_lost_how_to_get_new_one_again,1
smart_card_distributed_in_my_area_but_my_card_not_received,voter_slip_lost_how_to_get_new_card,1
smart_card_fee,smart_card_collection_fees,14
smart_card_fee,smart_card_fee,24
smart_card_from_where,card_avail_after_address_change,1
smart_card_from_where,smart_card_from_where,37
smart_card_lost_how_to_get_new_one_again,card_damaged_how_to_get_new_card,2
smart_card_lost_how_to_get_new_one_again,smart_card_lost_how_to_get_new_one_again,28
smart_card_lost_how_to_get_new_one_again,smart_card_lost_reissue,8
smart_card_lost_reissue,smart_card_lost_how_to_get_new_one_again,5
smart_card_lost_reissue,smart_card_lost_reissue,33
smart_card_print_problem,smart_card_print_problem,38
smart_card_printing_status_sms_how,smart_card_printing_status_sms_how,38
smart_card_ready_sms,smart_card_ready_sms,38
smart_card_selected_but_get_pdf,new_voter_smart_card_how_to_get,1
smart_card_selected_but_get_pdf,smart_card_selected_but_get_pdf,37
smart_card_status,new_voter_got_normal_card_when_get_smart_card,1
smart_card_status,not_getting_smart_card_though_newer_voter_getting,1
smart_card_status,smart_card_distributed_in_my_area_but_my_card_not_received,1
smart_card_status,smart_card_from_where,1
smart_card_status,smart_card_status,34
sms_after_picture_how_many_days,photo_done_years_ago_but_no_card,1
sms_after_picture_how_many_days,sms_after_picture_how_many_days,37
softwere_bug_in_card_processing_system,correction_fee_submitted_but_balance_zero,1
softwere_bug_in_card_processing_system,softwere_bug_in_card_processing_system,37
spouse_name_correction_new,spouse_name_correction_new,38
ssc_certificate_for_correction,ssc_certificate_for_correction,38
ten_digit_nid_password_changing_problem,ten_digit_nid_password_changing_problem,38
together_present_and_permanent_address_change,together_present_and_permanent_address_change,38
underaged_card_holder_to_voter,new_nid_card_age,4
underaged_card_holder_to_voter,nid_registration_age,1
underaged_card_holder_to_voter,underaged_card_holder_to_voter,33
unexpected_online_problem,unexpected_online_problem,38
updated_nid_after_correction,card_damaged_how_to_get_new_card,1
updated_nid_after_correction,no_download_option_after_correction,1
updated_nid_after_correction,updated_nid_after_correction,36
utility_bill_not_available_for_address_proof,utility_bill_not_available_for_address_proof,38
voter_area_change,new_voter_pre_condition,1
voter_area_change,no_own_house_in_voter_area,1
voter_area_change,voter_area_change,36
voter_area_change_not_reflected,voter_area_change_not_reflected,37
voter_area_change_not_reflected,voter_area_change_ongoing,1
voter_area_change_ongoing,birthplace_correction_new,1
voter_area_change_ongoing,together_present_and_permanent_address_change,1
voter_area_change_ongoing,voter_area_change_ongoing,36
voter_area_change_online,voter_area_change_online,38
voter_area_query,voter_area_query,38
voter_card_damaged,receipt_lost_how_to_get_new_card,1
voter_card_damaged,voter_card_damaged,37
voter_halnagad_registration_not_done,voter_halnagad_registration_not_done,37
voter_halnagad_registration_not_done,voter_slip_lost_how_to_get_new_card,1
voter_migration_done_now_what_to_do_for_reissue,card_avail_after_address_change,3
voter_migration_done_now_what_to_do_for_reissue,new_card_got_old_card_found_what_to_do,2
voter_migration_done_now_what_to_do_for_reissue,voter_migration_done_now_what_to_do_for_reissue,33
voter_slip_lost_how_to_get_new_card,picture_done_but_lost_or_no_sms_slip,1
voter_slip_lost_how_to_get_new_card,voter_slip_lost_how_to_get_new_card,36
voter_slip_lost_how_to_get_new_card,voter_slip_lost_how_to_get_nid,1
voter_slip_lost_how_to_get_nid,card_lost_no_info_how_to_get_new,3
voter_slip_lost_how_to_get_nid,correction_slip_lost_can_get_card,3
voter_slip_lost_how_to_get_nid,picture_done_but_lost_or_no_sms_slip,4
voter_slip_lost_how_to_get_nid,voter_slip_lost_how_to_get_nid,28
warning_to_prank_caller,cell_phone_number_correct_or_add_document_new,1
warning_to_prank_caller,greeting_and_request_for_question,1
warning_to_prank_caller,new_nid_card_age,1
warning_to_prank_caller,parent_spouse_name_correct_or_add_document_new,1
warning_to_prank_caller,warning_to_prank_caller,34
way_to_cancel_correction_application,name_correction_in_nid_card,1
way_to_cancel_correction_application,way_to_cancel_correction_application,37
whether_nid_card_required_for_dual_citizenship,ministry_provide_dual_citizenship_certificate,1
whether_nid_card_required_for_dual_citizenship,new_voter_pre_condition,1
whether_nid_card_required_for_dual_citizenship,whether_nid_card_required_for_dual_citizenship,36
whom_to_communicate_for_dual_citizenship_certificate,greeting_and_request_for_question,1
whom_to_communicate_for_dual_citizenship_certificate,ministry_provide_dual_citizenship_certificate,7
whom_to_communicate_for_dual_citizenship_certificate,whom_to_communicate_for_dual_citizenship_certificate,30
wish_to_create_nid_smart_card_new,new_card_got_old_card_found_what_to_do,1
wish_to_create_nid_smart_card_new,new_nid_card_age,1
wish_to_create_nid_smart_card_new,new_voter_pre_condition,2
wish_to_create_nid_smart_card_new,nid_registration_age,2
wish_to_create_nid_smart_card_new,online_new_voter_registration,5
wish_to_create_nid_smart_card_new,online_portal_registration,2
wish_to_create_nid_smart_card_new,voter_slip_lost_how_to_get_nid,1
wish_to_create_nid_smart_card_new,wish_to_create_nid_smart_card_new,24
