input_question,mapped_question,expected_tag,predicted_tag,cosine_similarity,classifier_confidence,prediction_source,question,primary_tag,top1_correct,topk_correct,top_k_tags,top_k_scores,top_k_sources,all_fused_tags,all_fused_scores,all_fused_sources,num_dropped
জাতীয় পরিচয়পত্রে মোবাইল নম্বর সংশোধনের নথি কী কী?,জাতীয় পরিচয়পত্রে মোবাইল নম্বর পরিবর্তনে কী কী কাগজ চাই?,cell_phone_number_correct_or_add_document_new,cell_phone_number_correct_or_add_document_new,0.973043,0.999996,sts+classifier,জাতীয় পরিচয়পত্রে মোবাইল নম্বর সংশোধনের নথি কী কী?,cell_phone_number_correct_or_add_document_new,1,1,cell_phone_number_correct_or_add_document_new,1.000000,sts+classifier,cell_phone_number_correct_or_add_document_new|birth_certificate_number_correct_or_add_document_new|parent_spouse_name_correct_or_add_document_new|nid_wallet_download_iphone|one_zero_five_upzila_office_contact|profession_change|smart_card_printing_status_sms_how|one_mobile_number_how_many_time_registration|voter_area_query|permanent_address_new|present_and_permanent_address_generic_new|signature_correction|necessary_documents_to_modify_voter_area|greeting_and_request_for_question|passport_number_correct_or_add_document_new|voter_area_change|wish_to_create_nid_smart_card_new|service_provided|nid_registration_age|new_voter_online_what_documents_to_submit|rocket_mfs_payment_process|sms_after_picture_how_many_days|photo_done_years_ago_but_no_card|card_avail_after_address_change|reissue_supporting_document,1.000000|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
অনলাইন এনআইডি তে কিউআর কোডের কার্যকারিতা কী? কীভাবে ব্যবহার করবো?,এনআইডি অনলাইন কিউআর কোড ব্যবহার করতে কি করবো?,qr_code_clarification,qr_code_clarification,0.966188,1.000000,sts+classifier,অনলাইন এনআইডি তে কিউআর কোডের কার্যকারিতা কী? কীভাবে ব্যবহার করবো?,qr_code_clarification,1,1,qr_code_clarification,1.000000,sts+classifier,qr_code_clarification|unexpected_online_problem|account_locked|new_voter_apply_online_what_documents_needed|online_portal_registration|online_card_correction_application_done_now_what|smart_card_ready_sms|nid_information_misentry_correction_procedure|card_information_correction|nid_wallet_download_iphone|online_previously_registered|new_voter_online_what_documents_to_submit|no_otp_in_registration|voter_card_damaged|form_number_not_working|online_no_apply|previous_information_in_downloaded_card_after_correction|no_download_option_after_correction|online_apply|educational_qualification_correction|wish_to_create_nid_smart_card_new|online_card_correction|how_to_apply_for_correction_in_online_portal|smart_card_selected_but_get_pdf|rocket_mfs_payment_process,1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
রিইস্যু কার্ড কবে থানা/উপজেলা অফিসে পৌঁছাবে?,অনুরোধ করা রিইস্যু এনআইডি কার্ড কবে উপজেলা অফিসে পৌঁছাবে?,online_application_pending,online_application_pending,0.956749,0.997501,sts+classifier,রিইস্যু কার্ড কবে থানা/উপজেলা অফিসে পৌঁছাবে?,online_application_pending,1,1,online_application_pending,1.000000,sts+classifier,online_application_pending|reissue_apply_why_pending_and_urgent_reissue_seven_days_over|new_voter_card_getting_time|voter_migration_done_now_what_to_do_for_reissue|receipt_lost_how_to_get_new_card|correction_application_status|foreign_resident_card_registration_rejected|nid_adjudication_pending|correction_application_current_status|no_otp_in_registration|permanent_address_change_process_duration|photo_done_years_ago_but_no_card|photo_signature_change_application_not_approved|sms_after_picture_how_many_days|ministry_provide_dual_citizenship_certificate|card_reissue_fees|address_change_sms_to_mobile_how_many_days_to_get_approved|foreign_resident_action_after_biometrics_new|goodbye|foreign_resident_nid_adjudication_pending|account_locked_retrials|whom_to_communicate_for_dual_citizenship_certificate|correction_slip_lost_can_get_card|finderprint_adjudication_pending,1.000000|0.000963|0.000222|0.000030|0.000010|0.000010|0.000002|0.000001|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
স্থায়ী ঠিকানা হালনাগাদে গড়ে কতদিন ধরে অপেক্ষা করতে হয়?,স্থায়ী ঠিকানা হালনাগাদে কবে পর্যন্ত অপেক্ষা করতে হতে পারে?,permanent_address_change_process_duration,permanent_address_change_process_duration,0.983788,0.999968,sts+classifier,স্থায়ী ঠিকানা হালনাগাদে গড়ে কতদিন ধরে অপেক্ষা করতে হয়?,permanent_address_change_process_duration,1,1,permanent_address_change_process_duration,1.000000,sts+classifier,permanent_address_change_process_duration|present_address_change_process_duration|permanent_address_update_procedure|permanent_address_new|permanent_address_change_fees|finderprint_adjudication_pending|address_change_sms_to_mobile_how_many_days_to_get_approved|no_upzila_in_permananet_address|account_locked_retrials|new_voter_card_getting_time|nid_adjudication_pending|reigister_as_new_voter_but_birth_registration_different_address|voter_area_change|online_application_pending|smart_card_status|smart_card_print_problem|address_cahgne_but_no_post_office_or_office_code|photo_signature_change_application_not_approved|card_avail_after_address_change|age_and_dob_correction|no_otp_in_registration|together_present_and_permanent_address_change|card_correction_one_information_maximum_limit|voter_area_change_not_reflected|smart_card_distributed_in_my_area_but_my_card_not_received,1.000000|0.000019|0.000007|0.000003|0.000002|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
জাতীয় পরিচয়পত্রের ঠিকানা কি ইন্টারনেটের মাধ্যমে বদলাতে পারি?,অনলাইনে জাতীয় পরিচয়পত্রের ঠিকানা বদলানো যাবে কি?,address_change_online_new,address_change_online_new,0.979729,0.994103,sts+classifier,জাতীয় পরিচয়পত্রের ঠিকানা কি ইন্টারনেটের মাধ্যমে বদলাতে পারি?,address_change_online_new,1,1,address_change_online_new,1.000000,sts+classifier,address_change_online_new|persent_address_correction_procedure|address_change_card_download_process|card_avail_after_address_change|online_card_correction|together_present_and_permanent_address_change|voter_area_change_ongoing|online_no_apply|service_provided|voter_area_change|present_and_permanent_address_generic_new|no_own_house_in_voter_area|online_new_voter_registration|permanent_address_change_fees|voter_area_query|correction_slip_lost_can_get_card|address_change_counselor_chairperson_signature|online_apply|nid_opportunity_for_foreign_spouse|how_many_wife_name_can_be_added_in_nid_card|address_change_sms_to_mobile_how_many_days_to_get_approved|login_using_old_id_password|husband_talak_name_remove,1.000000|0.001207|0.000235|0.000042|0.000008|0.000003|0.000003|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,22
কার্ডের ই-সেবা পোর্টালে কীভাবে একাউন্ট রেজিস্টার করব?,কার্ডের ই-সেবা পোর্টালে নিবন্ধন সম্পন্ন করার কৌশল কী?,online_portal_registration,online_portal_registration,0.965972,0.996316,sts+classifier,কার্ডের ই-সেবা পোর্টালে কীভাবে একাউন্ট রেজিস্টার করব?,online_portal_registration,1,1,online_portal_registration,1.000000,sts+classifier,online_portal_registration|online_previously_registered|wish_to_create_nid_smart_card_new|online_new_voter_registration|how_to_apply_for_correction_in_online_portal|no_upzila_in_online_registration|online_apply|online_card_correction|account_locked|form_number_not_working|card_information_correction|no_otp_in_registration|foreign_resident_card_registration_process|voter_slip_lost_how_to_get_nid|login_using_old_id_password|signature_correction|new_voter_online_what_documents_to_submit|address_change_online_new|new_voter_apply_online_what_documents_needed|permanent_address_update_procedure|nid_registration_age|card_damaged_how_to_get_new_card|qr_code_clarification|online_no_apply|account_locked_retrials,1.000000|0.002836|0.000565|0.000156|0.000069|0.000031|0.000021|0.000009|0.000004|0.000002|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
"আমি কবে কার্ড পাবো জানতে চাই, কোথায় যোগাযোগ করবো?","কার্ড ইস্যু হয়েছে কিনা জানতে চাই, কোথায় খোঁজ নেব?",photo_done_years_ago_but_no_card,photo_done_years_ago_but_no_card,0.955558,0.882246,sts+classifier,"আমি কবে কার্ড পাবো জানতে চাই, কোথায় যোগাযোগ করবো?",photo_done_years_ago_but_no_card,1,1,photo_done_years_ago_but_no_card,0.780814,sts+classifier,photo_done_years_ago_but_no_card|smart_card_distributed_in_my_area_but_my_card_not_received|correction_applied_but_no_category|nrb_application_status|smart_card_status|correction_application_status|picture_done_but_lost_or_no_sms_slip|receipt_lost_how_to_get_new_card|voter_slip_lost_how_to_get_nid|new_voter_no_messages_from_upzila_or_thana|voter_slip_lost_how_to_get_new_card|card_lock|card_avail_after_address_change|nid_information_misentry_correction_procedure|smart_card_from_where|wish_to_create_nid_smart_card_new|updated_nid_after_correction|photo_correction|photo_signature_change_application_not_approved|card_damaged_how_to_get_new_card|no_otp_in_registration|reissue_apply_why_pending_and_urgent_reissue_seven_days_over|correction_application_current_status,0.780814|0.003130|0.000633|0.000614|0.000572|0.000334|0.000317|0.000218|0.000207|0.000159|0.000147|0.000033|0.000019|0.000012|0.000012|0.000012|0.000007|0.000005|0.000001|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,22
এনআইডির সংশোধনী ফাইল বন্ধ/বাতিল করতে কী করতে হবে?,এনআইডি সংশোধনের আবেদনটা বন্ধ করতে হলে কী করতে হবে?,way_to_cancel_correction_application,way_to_cancel_correction_application,0.958759,0.914112,sts+classifier,এনআইডির সংশোধনী ফাইল বন্ধ/বাতিল করতে কী করতে হবে?,way_to_cancel_correction_application,1,1,way_to_cancel_correction_application,1.000000,sts+classifier,way_to_cancel_correction_application|correction_application_current_status|nid_information_misentry_correction_procedure|card_information_correction|updated_nid_after_correction|online_card_correction_application_done_now_what|how_to_apply_for_correction_in_online_portal|online_card_correction|correction_fee_payment|signature_correction|nid_wallet_download|correction_applied_more_correction_needed|account_locked|eight_hours_time_up|dead_people_id_card_update|no_download_option_after_correction|nid_wallet_download_iphone|service_provided|nid_wallet_download_alternative|new_voter_application_cancelled|parents_name_correction_new|previous_information_in_downloaded_card_after_correction|qr_code_clarification|present_and_permanent_address_generic_new,1.000000|0.041368|0.013856|0.010796|0.002301|0.002145|0.002129|0.001024|0.000303|0.000111|0.000072|0.000054|0.000038|0.000038|0.000035|0.000031|0.000030|0.000023|0.000015|0.000015|0.000011|0.000002|0.000000|0.000000,sts+classifier|classifier|classifier|sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
ঠিকানা বদলের পর কার্ড পাওয়ার জন্য কোন অফিস কর্তৃপক্ষ দায়িত্বে থাকে?,ঠিকানা পরিবর্তনের পরে কার্ড নেওয়ার জন্য কোন দপ্তরে যাওয়া লাগবে?,card_avail_after_address_change,card_avail_after_address_change,0.973576,0.999996,sts+classifier,ঠিকানা বদলের পর কার্ড পাওয়ার জন্য কোন অফিস কর্তৃপক্ষ দায়িত্বে থাকে?,card_avail_after_address_change,1,1,card_avail_after_address_change,1.000000,sts+classifier,card_avail_after_address_change|updated_nid_after_correction|address_change_card_download_process|voter_migration_done_now_what_to_do_for_reissue|permanent_address_new|present_and_permanent_address_generic_new|photo_done_years_ago_but_no_card|voter_area_change|card_damaged_how_to_get_new_card|nrb_application_status|voter_slip_lost_how_to_get_nid|receipt_lost_how_to_get_new_card|new_voter_card_getting_time|address_cahgne_but_no_post_office_or_office_code|new_voter_smart_card_how_to_get|foreign_resident_card_registration_process|new_voter_how_to_get_card|foreign_resident_card_collection|card_lost_no_info_how_to_get_new|voter_area_query|whether_nid_card_required_for_dual_citizenship|smart_card_distributed_in_my_area_but_my_card_not_received|new_voter_can_not_download_card_with_form_number|correction_fee_payment|nid_wallet_download_iphone,1.000000|0.000002|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
আঠারো না হলে কি নতুন ভোটার হওয়া সম্ভব?,আঠারো পূর্ণ না হলে নতুন ভোটার করা যাবে কি?,new_nid_card_age,new_nid_card_age,0.987343,0.922402,sts+classifier,আঠারো না হলে কি নতুন ভোটার হওয়া সম্ভব?,new_nid_card_age,1,1,new_nid_card_age,1.000000,sts+classifier,new_nid_card_age|new_voter_pre_condition|nid_registration_age|new_voter_but_card_rejected|representative_contact_outside_business_hours|underaged_card_holder_to_voter|new_voter_fees|new_voter_got_normal_card_when_get_smart_card|faster_voter_registration|no_own_house_in_voter_area|new_voter_how_to_get_card|new_voter_card_getting_time|wish_to_create_nid_smart_card_new|eight_hours_time_up|whether_nid_card_required_for_dual_citizenship|new_voter_can_not_download_card_with_form_number|warning_to_prank_caller|smart_card_fee|new_voter_application_cancelled|nid_wallet_download_iphone|reissue_apply_why_pending_and_urgent_reissue_seven_days_over|nid_digit_format_missmatch_in_passport|voter_area_query|new_voter_smart_card_how_to_get|photo_sms_but_not_in_upzila_other_when,1.000000|0.036452|0.033921|0.008196|0.003343|0.001359|0.000330|0.000095|0.000059|0.000042|0.000036|0.000027|0.000024|0.000019|0.000017|0.000014|0.000010|0.000006|0.000003|0.000002|0.000001|0.000001|0.000001|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
পিতার নামের ভুল সংশোধনে কি school leaving certificate গ্রহণযোগ্য?,বাবার নামের ভুল ঠিক করতে কি বিদ্যালয়ের সার্টিফিকেট চলবে?,parents_name_correction_new,parents_name_correction_new,0.960163,0.999395,sts+classifier,পিতার নামের ভুল সংশোধনে কি school leaving certificate গ্রহণযোগ্য?,parents_name_correction_new,1,1,parents_name_correction_new,1.000000,sts+classifier,parents_name_correction_new|spouse_name_correction_new|parent_no_card_failed_to_be_voter|father_and_my_adress_different|name_correction_in_nid_card|parents_or_spouse_death_related_documents_to_declare_death|ssc_certificate_for_correction|birth_certificate_and_ssc_certificate_different_information|old_birth_certificate|husband_talak_name_remove|nid_information_misentry_correction_procedure|dead_people_id_card_update|voter_area_change_ongoing|birthplace_correction_new|voter_halnagad_registration_not_done|educational_qualification_correction|no_husband_name_in_smart_card|age_and_dob_correction|foreign_resident_multiple_registration_new|birth_certificate_number_correct_or_add_document_new|smart_card_collect_by_other|husband_name_previous_card|parent_spouse_name_correct_or_add_document_new|reigister_as_new_voter_but_birth_registration_different_address|present_and_permanent_address_generic_new,1.000000|0.000188|0.000129|0.000112|0.000049|0.000036|0.000033|0.000013|0.000011|0.000011|0.000009|0.000001|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
একই নম্বর দিয়ে কয়বার পর্যন্ত ভোটার কার্ডের নিবন্ধন করা যাবে?,একই নম্বর রিপিট করে কয়বার ভোটার রেজিস্ট্রেশন করা সম্ভব?,one_mobile_number_how_many_time_registration,one_mobile_number_how_many_time_registration,0.970793,0.999967,sts+classifier,একই নম্বর দিয়ে কয়বার পর্যন্ত ভোটার কার্ডের নিবন্ধন করা যাবে?,one_mobile_number_how_many_time_registration,1,1,one_mobile_number_how_many_time_registration,1.000000,sts+classifier,one_mobile_number_how_many_time_registration|card_correction_one_information_maximum_limit|together_present_and_permanent_address_change|faster_voter_registration|how_many_wife_name_can_be_added_in_nid_card|photo_sms_but_not_in_upzila_other_when|address_change_sms_to_mobile_how_many_days_to_get_approved|repeat_again|nid_registration_age|permanent_address_change_process_duration|double_voter_registration_issue|new_nid_card_age|correction_application_status|cell_phone_number_correct_or_add_document_new|smart_card_printing_status_sms_how|new_voter_card_getting_time|wish_to_create_nid_smart_card_new|sms_after_picture_how_many_days|eight_hours_time_up|online_application_pending|no_otp_in_registration|present_address_change_process_duration|smart_card_status|form_number_not_working|account_locked_retrials,1.000000|0.000028|0.000003|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
"এনআইডি Wallet ডিভাইসে ইনস্টল হচ্ছে না, সমাধান কী?","এনআইডি Wallet এপ্লিকেশন নামছে না, সমাধানের উপায় কী?",nid_wallet_download_alternative,nid_wallet_download_alternative,0.974378,0.999931,sts+classifier,"এনআইডি Wallet ডিভাইসে ইনস্টল হচ্ছে না, সমাধান কী?",nid_wallet_download_alternative,1,1,nid_wallet_download_alternative,1.000000,sts+classifier,nid_wallet_download_alternative|correction_fee_submitted_but_balance_zero|nid_wallet_download|no_android_phone|fingerprint_error_info_not_found|nid_adjudication_pending|no_face_verification|nid_wallet_download_iphone|finderprint_adjudication_pending|card_correction_request_failed_query_regarding_refund_fees|font_problem_in_new_voter_registration_form|no_download_option_after_correction|eight_hours_time_up|unexpected_online_problem|online_application_pending|card_correction_request_canceled_by_consumer_regarding_refund_fees|new_voter_application_cancelled|new_voter_can_not_download_card_with_form_number|new_voter_application_not_submitted_to_upazila_or_thana_office|account_locked_unlock_request|no_otp_in_registration|voter_area_change_ongoing|old_birth_certificate|correction_application_current_status|photo_signature_change_application_not_approved,1.000000|0.000033|0.000022|0.000006|0.000002|0.000002|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
ফি জমা দিতে কত সংখ্যার এনআইডি দরকার?,ফি জমা দেওয়ার জন্য এনআইডির কত ডিজিট টাইপ করতে হয়?,card_correction_fees_payment_reference_nid_number_query,card_correction_fees_payment_reference_nid_number_query,0.977817,0.999973,sts+classifier,ফি জমা দিতে কত সংখ্যার এনআইডি দরকার?,card_correction_fees_payment_reference_nid_number_query,1,1,card_correction_fees_payment_reference_nid_number_query,1.000000,sts+classifier,card_correction_fees_payment_reference_nid_number_query|new_voter_fees|card_lost_new_card_fee|form_number_not_working|card_correction_fees|one_mobile_number_how_many_time_registration|nid_registration_age|nid_digit_format_missmatch_in_passport|permanent_address_change_fees|smart_card_collection_fees|card_reissue_fees|smart_card_fee|card_lost_and_damaged_cost|correction_fee_submitted_but_balance_zero|how_many_wife_name_can_be_added_in_nid_card|blood_group_correction|closing_statement|no_face_verification|rocket_mfs_payment_process|card_correction_request_failed_query_regarding_refund_fees|new_nid_card_age|eight_hours_time_up|cell_phone_number_correct_or_add_document_new|photo_done_years_ago_but_no_card|correction_fee_payment,1.000000|0.000018|0.000004|0.000003|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
"আলাপ শেষ হল, ধন্যবাদ।","আলাপ শেষ করছি, ধন্যবাদ।",request_for_feedback_or_suggestions,request_for_feedback_or_suggestions,0.985117,0.765232,sts+classifier,"আলাপ শেষ হল, ধন্যবাদ।",request_for_feedback_or_suggestions,1,1,request_for_feedback_or_suggestions,1.000000,sts+classifier,request_for_feedback_or_suggestions|ask_if_any_other_questions|eight_hours_time_up|greetings|repeat_again|picture_done_but_lost_or_no_sms_slip|information_correct_but_account_locked|ministry_provide_dual_citizenship_certificate|agent_calling|parent_spouse_name_correct_or_add_document_new|delayed_question_prompt|account_locked_retrials|request_for_clear_pronunciation|foreign_resident_action_after_biometrics_new|whom_to_communicate_for_dual_citizenship_certificate|qr_code_clarification|greeting_and_request_for_question|warning_to_prank_caller|photo_sms_but_not_in_upzila_other_when|husband_talak_name_remove|photo_signature_change_application_not_approved|correction_messages_but_no_update_in_card_no_approve|face_verification_no_next_option,1.000000|0.000030|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,22
"আমি যে সংশোধন আবেদন করিেছিলাম, এখন সেটি কীভাবে বাতিল করবো?","আমি যে সংশোধনী আবেদন করেছি, সেটা কি এখনই বাতিল করা সম্ভব? কিভাবে?",way_to_cancel_correction_application,way_to_cancel_correction_application,0.980535,0.998298,sts+classifier,"আমি যে সংশোধন আবেদন করিেছিলাম, এখন সেটি কীভাবে বাতিল করবো?",way_to_cancel_correction_application,1,1,way_to_cancel_correction_application,1.000000,sts+classifier,way_to_cancel_correction_application|correction_application_current_status|correction_application_status|new_voter_application_cancelled|correction_applied_more_correction_needed|card_correction_request_failed_query_regarding_repayment_fees|online_card_correction_application_done_now_what|updated_nid_after_correction|no_download_option_after_correction|previous_information_in_downloaded_card_after_correction|nid_information_misentry_correction_procedure|nid_wallet_download|card_information_correction|nid_wallet_download_iphone|nid_wallet_download_alternative|voter_area_change_ongoing|present_and_permanent_address_generic_new|correction_fee_payment|card_correction_request_canceled_by_consumer_regarding_refund_fees|correction_slip_lost_can_get_card|how_to_complain_not_getting_help_from_election_office|how_to_apply_for_correction_in_online_portal|card_correction_request_failed_query_regarding_refund_fees|persent_address_correction_procedure|correction_applied_but_no_category,1.000000|0.001650|0.000036|0.000006|0.000005|0.000004|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
এনআইডির ছবি ভুল হলে কোথায় করেকশন করানো যায়?,এনআইডি ছবির ভুল হলে ঠিক কোথায় যাওয়া প্রয়োজন?,photo_correction,photo_correction,0.971687,0.999735,sts+classifier,এনআইডির ছবি ভুল হলে কোথায় করেকশন করানো যায়?,photo_correction,1,1,photo_correction,1.000000,sts+classifier,photo_correction|card_information_correction|nid_information_misentry_correction_procedure|signature_correction|photo_signature_change_application_not_approved|fingerprint_error_info_not_found|age_and_dob_correction|card_damaged_how_to_get_new_card|photo_done_years_ago_but_no_card|double_voter_registration_issue|blood_group_correction|no_face_verification|picture_done_but_lost_or_no_sms_slip|card_correction_one_information_maximum_limit|online_card_correction|updated_nid_after_correction|correction_application_status|eight_hours_time_up|foreign_resident_action_after_biometrics_new|name_correction_in_nid_card|account_locked|correction_application_current_status|educational_qualification_correction|profession_change|photo_sms_but_not_in_upzila_other_when,1.000000|0.000131|0.000102|0.000015|0.000011|0.000004|0.000002|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
এনআইডি কার্ড সংশোধন দ্রুত করতে কি বিশেষ ফি লাগে?,এনআইডি কার্ড সংশোধন দ্রুত করতে কি বাড়তি ফি দিতে হয়?,instant_card_correction_fee,instant_card_correction_fee,0.988693,1.000000,sts+classifier,এনআইডি কার্ড সংশোধন দ্রুত করতে কি বিশেষ ফি লাগে?,instant_card_correction_fee,1,1,instant_card_correction_fee,1.000000,sts+classifier,instant_card_correction_fee|correction_fee_payment|card_correction_request_failed_query_regarding_repayment_fees|faster_voter_registration|name_correction_in_nid_card|card_correction_fees|spouse_name_correction_new|new_voter_fees|representative_contact_outside_business_hours|service_provided|card_lost_and_damaged_cost|smart_card_fee|correction_application_rejected_need_new_fee|reissue_supporting_document|correction_application_current_status|voter_area_change_ongoing|signature_correction|photo_signature_change_application_not_approved|card_lost_new_card_fee|present_and_permanent_address_generic_new|card_correction_request_canceled_by_consumer_regarding_refund_fees|smart_card_collection_fees|permanent_address_change_fees|rocket_mfs_payment_process|age_and_dob_correction,1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
